;dataset;imputation;init_train_len;test_len;split_perc;trend;damped;seasonal;seasonal_periods;remove_bias;use_brute;one_step_ahead;power_transform;log;RMSE_Train_RW;MAPE_Train_RW;sMAPE_Train_RW;RMSE_Test_RW;MAPE_Test_RW;sMAPE_Test_RW;RMSE_Train_seasRW;MAPE_Train_seasRW;sMAPE_Train_seasRW;RMSE_Test_seasRW;MAPE_Test_seasRW;sMAPE_Test_seasRW;RMSE_Train_HA;MAPE_Train_HA;sMAPE_Train_HA;RMSE_Test_HA;MAPE_Test_HA;sMAPE_Test_HA;RMSE_Train;MAPE_Train;sMAPE_Train;RMSE_Test;MAPE_Test;sMAPE_Test
0;CashierData_weekly;mean;;;0,8000000000;add;False;add;52;False;False;False;False;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;365,7122080441;17,8348851248;17,3043221556;664,0666644621;79,4303428885;29,0649587137
1;CashierData_weekly;mean;;;0,8000000000;;False;add;52;False;False;False;False;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;367,6270369848;17,9075639885;17,4482227108;619,4885177019;72,6460783551;28,6554959057
2;CashierData_weekly;mean;;;0,8000000000;add;False;add;52;False;False;False;False;True;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;364,2102333297;17,1706259515;16,8184958667;636,1025438031;73,4141304914;29,1495437672
3;CashierData_weekly;mean;;;0,8000000000;;False;add;52;False;False;False;False;True;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;375,1282327703;17,0074013398;17,0975139906;596,8143025231;67,6306690782;28,8985294889
4;CashierData_weekly;mean;;;0,8000000000;add;False;add;52;False;False;False;True;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;364,5664700111;17,2262212964;16,8442319638;608,2089942444;69,8034789537;28,7518504307
5;CashierData_weekly;mean;;;0,8000000000;;False;add;52;False;False;False;True;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;375,8947681501;16,9623976746;17,0839712631;595,3585091524;67,3132626492;28,9201282918
6;CashierData_weekly;mean;;;0,8000000000;add;False;mul;52;False;False;False;False;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;360,6690430483;17,9579739848;17,0555371994;650,0412920028;77,1571306507;29,1446776700
7;CashierData_weekly;mean;;;0,8000000000;;False;mul;52;False;False;False;False;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;366,7817756509;17,8122163569;17,3450153826;636,1820927405;74,3957145373;29,6260051647
8;CashierData_weekly;mean;;;0,8000000000;add;False;mul;52;False;False;False;False;True;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;365,5291367652;16,9799686385;16,7438648398;618,4285261898;71,1774328084;28,8789116440
9;CashierData_weekly;mean;;;0,8000000000;;False;mul;52;False;False;False;False;True;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;375,1629382490;17,0084985822;17,0962762065;598,3682541723;67,7718854224;29,0168338457
