;dataset;imputation;init_train_len;test_len;split_perc;trend;damped;seasonal;seasonal_periods;remove_bias;use_brute;one_step_ahead;power_transform;log;RMSE_Train_RW;MAPE_Train_RW;sMAPE_Train_RW;RMSE_Test_RW;MAPE_Test_RW;sMAPE_Test_RW;RMSE_Train_seasRW;MAPE_Train_seasRW;sMAPE_Train_seasRW;RMSE_Test_seasRW;MAPE_Test_seasRW;sMAPE_Test_seasRW;RMSE_Train_HA;MAPE_Train_HA;sMAPE_Train_HA;RMSE_Test_HA;MAPE_Test_HA;sMAPE_Test_HA;RMSE_Train;MAPE_Train;sMAPE_Train;RMSE_Test;MAPE_Test;sMAPE_Test
0;CashierData_weekly;mean;;;0,8000000000;add;False;add;52;False;False;False;False;False;652,9382131362;45,9348277367;39,3418153964;2515,4288690268;112,2777520003;94,3268301270;621,2710237946;46,0197081198;41,9118813201;1646,8342582174;63,2031357520;50,1207879779;1042,9003157049;148,3847534064;70,8726943860;2313,0242499868;180,7727040370;95,5438934296;412,8823664058;31,3680336255;26,9802106910;1520,1751605237;60,2120517423;45,1989688450
1;CashierData_weekly;mean;;;0,8000000000;;False;add;52;False;False;False;False;False;652,9382131362;45,9348277367;39,3418153964;2515,4288690268;112,2777520003;94,3268301270;621,2710237946;46,0197081198;41,9118813201;1646,8342582174;63,2031357520;50,1207879779;1042,9003157049;148,3847534064;70,8726943860;2313,0242499868;180,7727040370;95,5438934296;372,3719311028;30,4219170130;26,2141407404;1535,5078224775;56,3358201349;43,7747467056
2;CashierData_weekly;mean;;;0,8000000000;add;False;add;52;False;False;False;False;True;652,9382131362;45,9348277367;39,3418153964;2515,4288690268;112,2777520003;94,3268301270;621,2710237946;46,0197081198;41,9118813201;1646,8342582174;63,2031357520;50,1207879779;1042,9003157049;148,3847534064;70,8726943860;2313,0242499868;180,7727040370;95,5438934296;410,6143782799;26,4111023656;24,7750111138;1188,7557165264;110,9005368566;48,9855139939
3;CashierData_weekly;mean;;;0,8000000000;;False;add;52;False;False;False;False;True;652,9382131362;45,9348277367;39,3418153964;2515,4288690268;112,2777520003;94,3268301270;621,2710237946;46,0197081198;41,9118813201;1646,8342582174;63,2031357520;50,1207879779;1042,9003157049;148,3847534064;70,8726943860;2313,0242499868;180,7727040370;95,5438934296;414,8557759377;25,9657047005;24,9301707720;1145,2662148422;96,7231534136;46,2045644102
4;CashierData_weekly;mean;;;0,8000000000;add;False;add;52;False;False;False;True;False;652,9382131362;45,9348277367;39,3418153964;2515,4288690268;112,2777520003;94,3268301270;621,2710237946;46,0197081198;41,9118813201;1646,8342582174;63,2031357520;50,1207879779;1042,9003157049;148,3847534064;70,8726943860;2313,0242499868;180,7727040370;95,5438934296;410,1421030926;26,4262096383;24,6973684524;1189,7352931475;116,0121583446;50,8585028558
5;CashierData_weekly;mean;;;0,8000000000;;False;add;52;False;False;False;True;False;652,9382131362;45,9348277367;39,3418153964;2515,4288690268;112,2777520003;94,3268301270;621,2710237946;46,0197081198;41,9118813201;1646,8342582174;63,2031357520;50,1207879779;1042,9003157049;148,3847534064;70,8726943860;2313,0242499868;180,7727040370;95,5438934296;412,9081141299;26,0051663079;24,8901555976;1142,5424967416;96,2143002780;46,5485958470
6;CashierData_weekly;mean;;;0,8000000000;add;False;mul;52;False;False;False;False;False;652,9382131362;45,9348277367;39,3418153964;2515,4288690268;112,2777520003;94,3268301270;621,2710237946;46,0197081198;41,9118813201;1646,8342582174;63,2031357520;50,1207879779;1042,9003157049;148,3847534064;70,8726943860;2313,0242499868;180,7727040370;95,5438934296;381,6953211891;38,5704338815;29,2965420458;1601,9906846273;61,2818000261;48,3569298356
7;CashierData_weekly;mean;;;0,8000000000;;False;mul;52;False;False;False;False;False;652,9382131362;45,9348277367;39,3418153964;2515,4288690268;112,2777520003;94,3268301270;621,2710237946;46,0197081198;41,9118813201;1646,8342582174;63,2031357520;50,1207879779;1042,9003157049;148,3847534064;70,8726943860;2313,0242499868;180,7727040370;95,5438934296;371,9147446763;31,8490660101;26,5465270520;1523,6664230239;58,9260552638;44,7972332263
8;CashierData_weekly;mean;;;0,8000000000;add;False;mul;52;False;False;False;False;True;652,9382131362;45,9348277367;39,3418153964;2515,4288690268;112,2777520003;94,3268301270;621,2710237946;46,0197081198;41,9118813201;1646,8342582174;63,2031357520;50,1207879779;1042,9003157049;148,3847534064;70,8726943860;2313,0242499868;180,7727040370;95,5438934296;406,4646171965;27,1638973121;25,6445528616;1370,8975516763;61,3252147577;41,1439976888
9;CashierData_weekly;mean;;;0,8000000000;;False;mul;52;False;False;False;False;True;652,9382131362;45,9348277367;39,3418153964;2515,4288690268;112,2777520003;94,3268301270;621,2710237946;46,0197081198;41,9118813201;1646,8342582174;63,2031357520;50,1207879779;1042,9003157049;148,3847534064;70,8726943860;2313,0242499868;180,7727040370;95,5438934296;420,1361658143;26,0622209064;25,1382758846;1204,5082618945;94,0437094139;43,6255134568
10;Failure;mean;;;0,8000000000;add;False;mul;52;False;False;False;True;False;;;;;;;;;;;;;;;;;;;;;;;;
11;Failure;mean;;;0,8000000000;;False;mul;52;False;False;False;True;False;;;;;;;;;;;;;;;;;;;;;;;;
12;CashierData_weekly;mean;;;0,8000000000;add;False;;52;False;False;False;False;False;652,9382131362;45,9348277367;39,3418153964;2515,4288690268;112,2777520003;94,3268301270;621,2710237946;46,0197081198;41,9118813201;1646,8342582174;63,2031357520;50,1207879779;1042,9003157049;148,3847534064;70,8726943860;2313,0242499868;180,7727040370;95,5438934296;638,3640273889;46,5437958433;39,4512718095;2431,7600522586;124,1534310900;92,0223593483
13;CashierData_weekly;mean;;;0,8000000000;;False;;52;False;False;False;False;False;652,9382131362;45,9348277367;39,3418153964;2515,4288690268;112,2777520003;94,3268301270;621,2710237946;46,0197081198;41,9118813201;1646,8342582174;63,2031357520;50,1207879779;1042,9003157049;148,3847534064;70,8726943860;2313,0242499868;180,7727040370;95,5438934296;637,9588394086;45,7993065109;38,4669891953;2500,2512423596;116,3631915950;94,2421914808
14;CashierData_weekly;mean;;;0,8000000000;add;False;;52;False;False;False;False;True;652,9382131362;45,9348277367;39,3418153964;2515,4288690268;112,2777520003;94,3268301270;621,2710237946;46,0197081198;41,9118813201;1646,8342582174;63,2031357520;50,1207879779;1042,9003157049;148,3847534064;70,8726943860;2313,0242499868;180,7727040370;95,5438934296;642,1493400710;44,4290556322;38,7114238350;2428,6858278822;124,4392320876;91,9115936351
15;CashierData_weekly;mean;;;0,8000000000;;False;;52;False;False;False;False;True;652,9382131362;45,9348277367;39,3418153964;2515,4288690268;112,2777520003;94,3268301270;621,2710237946;46,0197081198;41,9118813201;1646,8342582174;63,2031357520;50,1207879779;1042,9003157049;148,3847534064;70,8726943860;2313,0242499868;180,7727040370;95,5438934296;641,0921351048;43,9670720175;38,6799865782;2500,9600051273;116,1709521806;94,2471199788
16;CashierData_weekly;mean;;;0,8000000000;add;False;;52;False;False;False;True;False;652,9382131362;45,9348277367;39,3418153964;2515,4288690268;112,2777520003;94,3268301270;621,2710237946;46,0197081198;41,9118813201;1646,8342582174;63,2031357520;50,1207879779;1042,9003157049;148,3847534064;70,8726943860;2313,0242499868;180,7727040370;95,5438934296;641,8458538870;45,7762244673;39,1145070347;2487,4461765407;117,5004723763;93,6137918444
17;CashierData_weekly;mean;;;0,8000000000;;False;;52;False;False;False;True;False;652,9382131362;45,9348277367;39,3418153964;2515,4288690268;112,2777520003;94,3268301270;621,2710237946;46,0197081198;41,9118813201;1646,8342582174;63,2031357520;50,1207879779;1042,9003157049;148,3847534064;70,8726943860;2313,0242499868;180,7727040370;95,5438934296;641,6660543101;45,6888257830;39,1128866625;2500,8282897812;116,2066666098;94,2462111608
18;CashierData_weekly;mean;;;0,8000000000;add;False;add;52;True;False;False;False;False;652,9382131362;45,9348277367;39,3418153964;2515,4288690268;112,2777520003;94,3268301270;621,2710237946;46,0197081198;41,9118813201;1646,8342582174;63,2031357520;50,1207879779;1042,9003157049;148,3847534064;70,8726943860;2313,0242499868;180,7727040370;95,5438934296;412,3434224283;29,9909260995;26,8415582019;1529,9874760069;57,7590345280;44,3551785152
