;dataset;imputation;init_train_len;test_len;split_perc;trend;damped;seasonal;seasonal_periods;remove_bias;use_brute;one_step_ahead;power_transform;log;RMSE_Train_RW;MAPE_Train_RW;sMAPE_Train_RW;RMSE_Test_RW;MAPE_Test_RW;sMAPE_Test_RW;RMSE_Train_seasRW;MAPE_Train_seasRW;sMAPE_Train_seasRW;RMSE_Test_seasRW;MAPE_Test_seasRW;sMAPE_Test_seasRW;RMSE_Train_HA;MAPE_Train_HA;sMAPE_Train_HA;RMSE_Test_HA;MAPE_Test_HA;sMAPE_Test_HA;RMSE_Train;MAPE_Train;sMAPE_Train;RMSE_Test;MAPE_Test;sMAPE_Test
0;OwnDoc;mean;;;0,8000000000;add;False;add;7;False;False;False;False;False;135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;75,2709527515;8583,6151146523;52,3793377758;97,4071690831;16115,7644870086;76,5736706564
1;OwnDoc;mean;;;0,8000000000;;False;add;7;False;False;False;False;False;135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;75,2548911541;8686,3368052218;52,1710897667;97,5001169373;16260,6966339018;76,2335022400
2;OwnDoc;mean;;;0,8000000000;add;False;add;7;False;False;False;False;True;135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;89,3393668610;3738,1076920694;64,4761533880;110,3877554434;11892,0379666654;86,4553193842
3;OwnDoc;mean;;;0,8000000000;;False;add;7;False;False;False;False;True;135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;86,3015014179;3693,9225465428;63,4199742833;73,1103903161;8642,3568576454;69,3398357879
4;OwnDoc;mean;;;0,8000000000;add;False;add;7;False;False;False;True;False;135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;75,8376417035;6876,5176404419;53,8547699317;92,9846908674;14027,0189788070;75,8638466316
5;OwnDoc;mean;;;0,8000000000;;False;add;7;False;False;False;True;False;135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;75,7873011941;6898,3756642470;53,8681924218;92,5920382743;13979,5837345809;75,7006863574
6;OwnDoc;mean;;;0,8000000000;add;False;mul;7;False;False;False;False;False;135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;83,3320899341;7759,1556052310;57,4439547092;90,1004848004;20885,6076385157;71,3889796925
7;OwnDoc;mean;;;0,8000000000;;False;mul;7;False;False;False;False;False;135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;75,1100553170;9377,4802905426;52,2441431767;102,8242577873;17500,5036712784;78,0218606941
8;OwnDoc;mean;;;0,8000000000;add;False;mul;7;False;False;False;False;True;135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;94,3790589226;7505,1272701294;67,3381479079;95,8986685062;13697,2623068209;77,8043199438
9;OwnDoc;mean;;;0,8000000000;;False;mul;7;False;False;False;False;True;135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;85,8389864895;3732,2077992989;63,1235050417;73,8097370022;8728,1227114738;69,5304353035
10;Failure;mean;;;0,8000000000;add;False;mul;7;False;False;False;True;False;;;;;;;;;;;;;;;;;;;;;;;;
